submitted_on,waterpoint_photo,latitude,longitude,functional_status,current_problem,other_current_problem,water_quality_problems_available,available_water_quality_issues,other_water_quality_issues,households_using_waterpoint,water_unavailable_seasonally,water_unavailable_period,service_provider_available,type_of_provider,waterpoint_committee_active
07/04/2022,https://api.mwater.co/v3/images/d64bd3e6417c44208638fe08455cab48,-14.5218965,35.2163913,Functional,NA,NA,Yes,Salinity or salty water,NA,4,No,NA,Yes,Area or Water Mechanic,NA
07/04/2022,https://api.mwater.co/v3/images/9b81b45b51b64659a8750b34882e99d5,-14.5208842,35.2166901,Functional,NA,NA,No,NA,NA,15,No,NA,Yes,Institution,NA
07/04/2022,https://api.mwater.co/v3/images/d11dc27fd52a4dbc892047d048651024,-14.4874417,35.1830433,Partially functional but in need of repair,"Worn out parts, Low water flow - Low water pressure",NA,No,NA,NA,12,No,NA,Yes,Area or Water Mechanic,NA
07/04/2022,https://api.mwater.co/v3/images/b8fc92c5e5eb4e3c92c2ade77217e67d,-14.5157425,35.1962997,Not functional,Other,There is no water discharge,NA,NA,NA,NA,NA,NA,Yes,"Area or Water Mechanic, Unofficial/ Bush Mechanic",NA
07/04/2022,https://api.mwater.co/v3/images/828224abf3eb4cdcb2e711033b980bd3,-14.5227725,35.2170241,Partially functional but in need of repair,Worn out parts,NA,Yes,Salinity or salty water,NA,6,No,NA,Yes,Area or Water Mechanic,NA
07/04/2022,https://api.mwater.co/v3/images/fb583cb7b92c401e9adaf218b901b56d,-14.5254137,35.2156881,Functional,NA,NA,Yes,Salinity or salty water,NA,25,No,NA,Yes,Area or Water Mechanic,NA
07/04/2022,https://api.mwater.co/v3/images/3c65585606784b138c0b776b84dd59c0,-14.523154,35.2176825,Partially functional but in need of repair,Broken parts,NA,No,NA,NA,22,No,NA,Yes,Area or Water Mechanic,NA
07/04/2022,https://api.mwater.co/v3/images/629849a975ca4a8ebe696ef8281dc08e,-14.5238906,35.2172286,Functional,NA,NA,No,NA,NA,16,No,NA,Yes,Area or Water Mechanic,NA
08/04/2022,https://api.mwater.co/v3/images/5b98069caf5a48d9bb2413ad8e607375,-14.515183,35.195043,Partially functional but in need of repair,"Broken parts, Worn out parts",NA,No,NA,NA,6,No,NA,Yes,Area or Water Mechanic,NA
08/04/2022,https://api.mwater.co/v3/images/02433f0b284c4c39828772fc1ef1b772,-14.522195,35.2183247,Functional,NA,NA,No,NA,NA,12,No,NA,Yes,Area or Water Mechanic,NA
08/04/2022,https://api.mwater.co/v3/images/205f6de64fd74d6a8d998b74f539e440,-14.5146737,35.1943272,Partially functional but in need of repair,"Structural problems - Civil works, apron, etc",NA,No,NA,NA,17,No,NA,Yes,"Area or Water Mechanic, Unofficial/ Bush Mechanic",NA
08/04/2022,https://api.mwater.co/v3/images/e4d90f73635b432a92827137bc42c202,-14.5153642,35.1938361,Functional,NA,NA,No,NA,NA,17,No,NA,Yes,"Area or Water Mechanic, Unofficial/ Bush Mechanic",NA
